ir_is_classification,n,mean_log2_TMAO,sd_log2_TMAO,median_log2_TMAO,IQR_log2_TMAO
IS,14,20.348526666801686,1.515612920105096,19.85105313324542,2.124990987736915
IR,16,19.56684701019365,1.0378053794762188,19.769969399990075,1.5219262167607255
