term,Df,SumOfSqs,R2,F,Pr(>F)
ir_is_classification,1,0.27673144939705274,0.05122780840765339,2.2773282812175366,0.0404
age,1,0.06610071013378782,0.012236392075137879,0.543967868213828,0.8209
sex,1,0.1366794585556681,0.02530174698758376,1.1247872155785348,0.3039
bmi,1,0.12092517054346352,0.022385354038222068,0.9951391914063245,0.3971
Residual,39,4.73911759472596,0.877293161629884,NA,NA
Total,43,5.401977129197456,1,NA,NA
