"study_id","analysis_id","analysis_summary","metabolite_name","metabolite_id","refmet_name","units","Control_AKLA.","Control_AMDI.","Control_BABI.","Control_BACO.","Control_BADA.","Control_CECA.","Control_COMA.","Control_DIEM.","Control_DIMA31.","Control_DOMA.","Control_EMYA.","Control_FAAH.","Control_FAKA.","Control_FAND.","Control_HABA.","Control_HOLE.","Control_IBGA.","Control_KHGU.","Control_MAMB.","Control_MBKH.","Control_MEPA.","Control_MOKE.","Control_NDFA25.","Control_NDGU23.","Control_NGEU.","Control_NZFE.","Control_PAMA.","Control_RAFA.","Control_SAAD.","Control_SAAL.","Control_SACA23.","Control_SADI.","Control_SALL.","Control_SESO.","T2D_BASA.","T2D_CAFA.","T2D_CODI.","T2D_DAFA60.","T2D_DIDA.","T2D_DIFA.","T2D_DIFA37.","T2D_DIKH.","T2D_DSMA.","T2D_FAAS.","T2D_FAOU.","T2D_GUOU.","T2D_GUSA.","T2D_KAAD.","T2D_LEWA.","T2D_MADI52.","T2D_MBPA.","T2D_MOMB.","T2D_NDFA.","T2D_NDMO.","T2D_NDND.","T2D_NDOU.","T2D_NDPA.","T2D_NIIB.","T2D_SADI.","T2D_SAKH.","T2D_SAMO11.","T2D_SASE.","T2D_SODA.","T2D_SOFA.","T2D_THAN.","Control_AKLA..1","Control_AMDI..1","Control_BABI..1","Control_BACO..1","Control_BADA..1","Control_CECA..1","Control_COMA..1","Control_DIEM..1","Control_DIMA31..1","Control_DOMA..1","Control_EMYA..1","Control_FAAH..1","Control_FAKA..1","Control_FAND..1","Control_HABA..1","Control_HOLE..1","Control_IBGA..1","Control_KHGU..1","Control_MAMB..1","Control_MBKH..1","Control_MEPA..1","Control_MOKE..1","Control_NDFA25..1","Control_NDGU23..1","Control_NGEU..1","Control_NZFE..1","Control_PAMA..1","Control_RAFA..1","Control_SAAD..1","Control_SAAL..1","Control_SACA23..1","Control_SADI..1","Control_SALL..1","Control_SESO..1","T2D_BASA..1","T2D_CAFA..1","T2D_CODI..1","T2D_DAFA60..1","T2D_DIDA..1","T2D_DIFA..1","T2D_DIFA37..1","T2D_DIKH..1","T2D_DSMA..1","T2D_FAAS..1","T2D_FAOU..1","T2D_GUOU..1","T2D_GUSA..1","T2D_KAAD..1","T2D_LEWA..1","T2D_MADI52..1","T2D_MBPA..1","T2D_MOMB..1","T2D_NDFA..1","T2D_NDMO..1","T2D_NDND..1","T2D_NDOU..1","T2D_NDPA..1","T2D_NIIB..1","T2D_SADI..1","T2D_SAKH..1","T2D_SAMO11..1","T2D_SASE..1","T2D_SODA..1","T2D_SOFA..1","T2D_THAN..1"
"ST002681","AN004353","Reversed phase POSITIVE ION MODE","Hydroxyhexadecenoylcarnitine","ME634091","CAR 16:1;OH","AU",NA,NA,1390,1240,263,370,1150,NA,NA,NA,1050,1710,NA,NA,NA,NA,1410,294,219,777,NA,296,434,3240,NA,323,NA,NA,2050,996,1070,903,251,927,NA,1390,6280,2020,344,NA,1120,1570,277,1810,NA,416,341,1490,1880,NA,NA,2480,899,2050,920,783,2970,NA,301,2950,243,NA,NA,239,1120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ST002681","AN004353","Reversed phase POSITIVE ION MODE","Hydroxyoctadecenoylcarnitine","ME634099","CAR 18:1;OH","AU",NA,NA,855,NA,258,NA,417,NA,NA,NA,379,408,NA,NA,NA,NA,504,NA,NA,831,238,NA,NA,2120,NA,NA,NA,NA,407,NA,NA,298,NA,403,NA,651,2940,1170,239,NA,419,331,NA,967,NA,NA,NA,308,1060,NA,NA,NA,658,768,619,NA,1850,NA,NA,2710,NA,247,NA,NA,777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ST002681","AN004353","Reversed phase POSITIVE ION MODE","Hydroxyoctanoyl carnitine","ME634076","CAR 8:0;OH","AU",201000,60800,582000,1650000,202000,214000,387000,121000,213000,175000,451000,605000,77100,94300,295000,269000,528000,180000,61700,696000,42800,138000,329000,1510000,50600,224000,65100,105000,778000,674000,27900,330000,122000,478000,169000,274000,1250000,802000,127000,95600,516000,452000,136000,457000,156000,173000,193000,479000,674000,90600,170000,1180000,329000,675000,215000,685000,581000,122000,160000,1920000,53900,110000,355000,104000,435000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ST002681","AN004353","Reversed phase POSITIVE ION MODE","Hydroxytetradecanoyl carnitine","ME634088","CAR 14:0;OH","AU",1170,646,3470,4850,456,1510,3780,319,1770,297,1850,3160,422,569,2170,1060,4080,835,283,5040,297,331,1680,6770,279,1620,612,355,6290,1870,272,2050,574,2940,1660,2950,6090,6260,1910,372,4470,4180,826,4640,1220,1020,1050,3850,4640,239,485,7080,3110,4490,3740,4380,6760,806,1530,10500,497,393,1620,876,5230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ST002681","AN004353","Reversed phase POSITIVE ION MODE","Hydroxytetradecenoylcarnitine","ME634086","CAR 14:1;OH","AU",1140,1230,2920,6030,1190,2770,3420,1140,1980,728,8460,4550,448,327,1690,3480,3080,2800,808,26000,607,2770,2710,13900,377,1290,328,287,4250,2050,8460,5340,1570,3060,1300,2000,34300,12400,1460,NA,10000,3050,532,9990,978,1460,1600,3080,4620,459,1440,11700,3630,4170,3480,11300,4050,2650,2730,14900,1050,887,2480,1010,4560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ST002681","AN004353","Reversed phase POSITIVE ION MODE","Hydroxyundecanoyl carnitine","ME634082","CAR 10:0;OH","AU",18300,10700,18300,26800,17300,10100,22200,7720,6670,6550,20200,15200,20400,7790,9360,8090,24400,19400,11000,42300,13400,13900,10200,30400,22000,12500,12900,13800,29000,7440,13300,15200,17800,16700,19900,12900,26300,16700,10400,10400,12500,16800,15900,34300,7600,7510,16200,19100,5970,10800,14600,19500,9940,91900,18400,22500,30600,15200,8030,27100,16300,15300,14600,6860,17900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ST002681","AN004353","Reversed phase POSITIVE ION MODE","Hypotaurine","ME634044","Hypotaurine","AU",6790,NA,NA,NA,6940,7890,NA,NA,7110,NA,NA,NA,NA,27500,NA,NA,NA,NA,NA,NA,NA,6350,NA,NA,NA,8680,NA,NA,NA,NA,NA,NA,22300,NA,NA,NA,NA,NA,18700,28500,NA,NA,NA,NA,17000,32000,39700,NA,18900,NA,33000,4660,NA,NA,8430,NA,NA,5450,NA,NA,NA,6370,NA,NA,7440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ST002681","AN004353","Reversed phase POSITIVE ION MODE","Hypoxanthine","ME634019","Hypoxanthine","AU",1780000,703000,1950000,314000,1370000,1400000,849000,437000,1330000,661000,1170000,713000,158000,874000,132000,1190000,370000,3150000,163000,1450000,1670000,166000,2270000,1170000,716000,607000,1990000,236000,2480000,1830000,840000,357000,1290000,1640000,2860000,347000,711000,1940000,2110000,961000,1180000,1850000,212000,81900,429000,39500000,954000,1010000,1900000,383000,15900000,485000,1260000,3230000,2130000,10700000,23600000,331000,681000,941000,178000,1e+06,26900000,563000,3290000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ST002681","AN004353","Reversed phase POSITIVE ION MODE","Indole","ME634050","Indole","AU",1080000,865000,2560000,1330000,1130000,1250000,2210000,777000,1120000,1190000,2120000,2440000,888000,1090000,710000,1900000,2460000,1210000,1050000,2390000,361000,910000,1640000,2230000,1060000,1460000,973000,452000,2420000,2660000,2260000,1300000,1340000,4420000,1810000,3600000,1490000,4340000,1480000,923000,3580000,3240000,494000,3900000,995000,1720000,1060000,2070000,1910000,720000,1990000,1920000,1230000,5890000,2270000,3670000,3090000,767000,874000,2600000,1100000,1160000,2240000,779000,3670000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ST002681","AN004353","Reversed phase POSITIVE ION MODE","Indole-3-acetate","ME634051","Indoleacetic acid","AU",107000,95600,211000,182000,83400,76300,357000,79200,75000,105000,378000,307000,23200,215000,138000,173000,593000,352000,127000,2090000,29700,25600,222000,252000,586000,112000,3e+05,53000,1040000,192000,46700,136000,73000,217000,292000,1710000,575000,641000,114000,84100,279000,521000,22700,509000,106000,108000,212000,182000,311000,92500,322000,369000,2590000,1060000,197000,259000,522000,161000,67200,473000,115000,39300,75700,54400,453000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
