SampleID,PCoA1,PCoA2,ir_is_classification
ZNDMXI3-01,0.3507889995773687,-0.08138060407861279,IR
ZN9YTFN-01,-0.2818175860473205,0.09236899728491574,IS
ZN3TBJM-01,0.2795973710936668,0.08892107992689884,IS
ZN0JE53-01,0.33323600048144036,0.05081161476518936,IS
ZMS5W76-01,0.02584234087552399,-0.25476971451839475,IR
ZMBH10Z-01,0.02301687197581211,0.19256898034639955,IS
ZM8YXDM-01,0.07579360195541199,0.037520093005926305,IR
ZM7JY3G-01,0.11788200843573031,0.20527291494142033,IR
ZLZQMEV-01,0.22433675877438133,0.16266957715875008,IR
ZLZNCLZ-01,-0.3339583001949696,-0.14039617422554515,IS
ZLYEM2C-01,-0.3401169191646831,0.2597887910645493,IS
ZY9XQJP-01,-0.47095574509340754,0.00922707417447674,IR
ZY7IW45-01,-0.08256136314089138,0.1674985856807891,IR
ZY1ZKJY-01,-0.3699595790466796,-0.26428361709062487,IS
ZX52KVK-01,-0.2740309438399257,4.452508810690627e-4,IR
ZWLGEWL-01,0.203516836931766,-0.10777530516531725,IR
ZWHMV5E-01,0.2544329912818991,-0.16345277625833976,IR
ZWFDEY0-01,0.30743513134542033,-0.07232615316713698,IR
ZWCZHHY-01,0.23143868897457717,-0.06088797342672664,IR
ZW61YGW-01,-0.15107620680816686,-0.18970869087523132,IR
ZVTCAK9-01,-0.42339705005368783,0.20553266852976262,IS
ZVM4N7A-01,0.24117007142317645,0.008255053655215045,IR
ZVGW5FI-01,0.31704468283292914,-0.11338185213617392,IS
ZVC4YUG-01,0.20451108564630893,-0.11776648904926819,IR
ZYXQKWY-01,0.0020179129903656365,-0.03492762910770734,IR
ZVBQY1N-01,0.003229523404428075,-0.01547344518537736,IR
ZV14SIB-01,-0.4375684208373104,0.19284266525760826,IS
ZUPAQVU-01,-0.2918030138252078,-0.48257834074357997,IR
ZTXY83G-01,-0.21229574955013897,0.18729410396484694,IR
ZTUO1AO-01,-0.1799789392456943,-0.28076696773371773,IR
ZTTL3YH-01,0.5064446866722943,0.06190536226539169,IR
ZTMFN3O-01,-0.15843733170483806,-0.029314124232909092,IS
ZTLIFAS-01,0.3665576812834665,0.18427073057750915,IS
ZTJ7L7Z-01,-0.272599306838549,0.0786913164701387,IR
ZSOZWGV-01,0.21373983374460243,0.06337293468055236,IR
ZQMVU4Q-01,0.29045713279787605,0.2095376691013258,IR
ZQFL1P3-01,0.06532159403390235,-0.09112880153547213,IS
ZPMBHPS-01,0.28720482859890833,0.054918091280496566,IS
ZPF36E2-01,0.05126735375253786,-0.15899672793095374,IR
ZKVR426-01,0.0068822425096288446,-0.0399061831119134,IR
ZKFV71L-01,-0.23647861474139778,0.13293694018343505,IS
ZK4CK8Y-01,-0.4151352377370844,0.16146976823068657,IS
ZK112BX-01,-0.3497407824970792,-0.055006322456759585,IR
ZJTKAE3-01,0.2987448589736098,-0.0538923713975922,IR
